Averaged Steps Traning	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Average q-value evaluation
60.0	-1.15	60.0	-1.08	2031	11560	5.7630390444428866e-05	0.050776194194544655	615169	-14.66047191619873
60.0	-0.88	60.0	-1.06	2040	11600	5.925244298474542e-05	0.050757989403690314	617265	-14.666742324829102
60.0	-0.73	54.0	-0.62	2047	11640	5.5975971353013085e-05	0.05074017868884918	619365	-14.672937393188477
60.0	-1.13	54.0	-0.68	2057	11680	5.71679170817545e-05	0.05072321224424099	621412	-14.679577827453613
52.0	0.01	60.0	-1.15	2066	11720	5.050478534893778e-05	0.05070600686539384	623539	-14.685266494750977
60.0	-1.05	40.0	-0.1	2073	11760	5.602879183632987e-05	0.05068897345235203	625697	-14.695464134216309
60.0	-1.22	49.0	-0.67	2081	11800	6.018648713322009e-05	0.05067304611624256	627762	-14.702052116394043
60.0	-1.13	53.0	-0.81	2088	11840	5.296472762082074e-05	0.05065664009837036	629943	-14.713233947753906
60.0	-1.23	55.0	-0.77	2096	11880	6.04510708690091e-05	0.05064193793750654	631941	-14.720953941345215
60.0	-0.97	50.0	-0.46	2103	11920	5.916523053342064e-05	0.05062623453770312	634130	-14.727487564086914
60.0	-1.01	60.0	-1.22	2107	11960	5.4506693396679934e-05	0.05061054205908145	636374	-14.734918594360352
60.0	-0.95	40.0	-0.3	2113	12000	5.025213956832886e-05	0.05059550742110374	638578	-14.735025405883789
46.0	0.01	56.0	-0.85	2121	12040	4.443007450167127e-05	0.05058140476511421	640695	-14.745196342468262
60.0	-1.56	60.0	-1.03	2122	12080	5.658318270121189e-05	0.05056619989318313	643040	-14.75467586517334
60.0	-1.36	60.0	-1.05	2136	12120	5.5581764026050124e-05	0.050553621099787636	645022	-14.764741897583008
60.0	-1.18	40.0	-0.31	2147	12160	5.1107139963852734e-05	0.05054140597116822	646990	-14.769291877746582
55.0	0.01	50.0	-0.63	2157	12200	5.095761330401311e-05	0.0505290134467322	649034	-14.774741172790527
3.0	0.33	53.0	-0.63	2168	12240	2.3361319809957265e-06	0.05051702520641078	651057	-14.784143447875977
60.0	-1.11	35.0	0.0	2173	12280	5.267173148910075e-05	0.05050395734344439	653321	-14.794511795043945
60.0	-0.94	60.0	-1.11	2181	12320	5.710279786741579e-05	0.05049191889271073	655457	-14.800996780395508
60.0	-1.42	49.0	-0.7	2187	12360	5.669431778991107e-05	0.05048019469126437	657588	-14.801353454589844
60.0	-1.05	60.0	-1.18	2193	12400	5.609973784415953e-05	0.05046884888858759	659700	-14.809407234191895
60.0	-1.5	56.0	-0.82	2204	12440	5.220347278754428e-05	0.0504578423733109	661798	-14.814436912536621
60.0	-1.18	29.0	0.28	2213	12480	5.8545153110455246e-05	0.050447213483761806	663872	-14.821364402770996
34.0	0.01	60.0	-1.1	2221	12520	3.234452713792697e-05	0.050436380186462695	666039	-14.820777893066406
60.0	-1.14	60.0	-0.94	2229	12560	5.171483109711082e-05	0.05042635375234683	668091	-14.829785346984863
60.0	-0.72	46.0	-0.34	2236	12600	5.438119646102663e-05	0.050415891729931925	670287	-14.834607124328613
60.0	-1.45	60.0	-1.15	2243	12640	5.140808186953581e-05	0.050405911872369556	672433	-14.837701797485352
60.0	-0.56	48.0	-0.71	2248	12680	5.366206169128418e-05	0.05039582389638475	674658	-14.845499038696289
60.0	-0.91	52.0	-0.51	2257	12720	5.22064337940336e-05	0.05038676367619965	676702	-14.852554321289062
60.0	-0.82	45.0	-0.38	2263	12760	5.520600883938302e-05	0.050377227021034504	678909	-14.857645988464355
60.0	-0.76	39.0	-0.32	2271	12800	5.282679572701454e-05	0.050368297718394274	681025	-14.865437507629395
60.0	-1.38	50.0	-0.65	2279	12840	5.227589161596565e-05	0.05035973962912824	683101	-14.865839004516602
60.0	-1.27	56.0	-0.83	2282	12880	5.605267071575852e-05	0.05035058094750407	685382	-14.873435020446777
60.0	-0.55	41.0	-0.2	2291	12920	5.317745563046482e-05	0.05034218731613869	687523	-14.876269340515137
60.0	-1.07	60.0	-1.03	2301	12960	5.464103118872937e-05	0.05033473768124282	689464	-14.878485679626465
60.0	-0.96	56.0	-0.92	2312	13000	5.192167942340558e-05	0.050327188374195815	691477	-14.884093284606934
60.0	-1.12	46.0	-0.39	2318	13040	5.094635706006384e-05	0.05031937255173659	693613	-14.894144058227539
