Averaged Steps Training	Averaged Return Training	Averaged Steps Validation	Averaged Return Validation	Cumulative Successes	Number of episodes	Sampling time (s)	Epsilon threshold	Gradient update	Updates target network	Average q-value evaluation
50.0	-50.0	100.0	-100.0	2760	14360	5.928196614831271e-05	0.050274281274321646	622489	6341	-170.64939880371094
50.0	-50.0	59.0	-57.8	2762	14380	6.047021364469356e-05	0.05027111121617089	623399	6342	-170.8661651611328
38.0	-0.95	46.0	-44.8	2768	14400	4.45426172680325e-05	0.05026834651948112	624199	6342	-171.2216033935547
25.0	-0.92	80.0	-79.8	2772	14420	2.648193859359593e-05	0.05026537439187878	625070	6342	-171.77557373046875
44.0	-0.95	81.0	-80.8	2779	14440	5.14867893546572e-05	0.05026255658703749	625904	6342	-172.22149658203125
50.0	-50.0	100.0	-100.0	2782	14460	5.7958798124912206e-05	0.05025951879519144	626815	6342	-172.4759521484375
50.0	-50.0	69.0	-67.4	2786	14480	5.654042267667655e-05	0.05025669898362131	627669	6342	-172.712890625
50.0	-50.0	100.0	-100.0	2788	14500	5.701661932057348e-05	0.05025353556992311	628641	6342	-172.90696716308594
50.0	-50.0	58.0	-57.0	2791	14520	5.8670707313810826e-05	0.05025072121595955	629514	6342	-173.25267028808594
50.0	-50.0	68.0	-67.0	2796	14540	5.745322045138646e-05	0.050247904013391034	630398	6343	-176.226806640625
50.0	-50.0	54.0	-52.8	2801	14560	5.4367557986752015e-05	0.050245379042799874	631197	6343	-176.107666015625
50.0	-50.0	65.0	-64.4	2804	14580	5.847040681354957e-05	0.05024256425114684	632100	6343	-176.0872802734375
50.0	-50.0	83.0	-82.8	2804	14600	5.691634465570319e-05	0.05023955106962605	633080	6343	-171.47647094726562
50.0	-50.0	100.0	-100.0	2812	14620	5.6044787943118576e-05	0.050237434460230296	633770	6343	-176.41285705566406
50.0	-50.0	90.0	-90.0	2814	14640	5.86287571432812e-05	0.0502345817470113	634717	6343	-172.47007751464844
50.0	-50.0	100.0	-100.0	2816	14660	5.7027317166816324e-05	0.05023192559951001	635608	6343	-173.33084106445312
50.0	-50.0	61.0	-59.4	2821	14680	5.707942172681928e-05	0.05022946296145179	636442	6343	-177.92486572265625
5.0	-0.6	48.0	-47.0	2826	14700	5.525228928546517e-06	0.05022715421055073	637231	6343	-176.7479705810547
50.0	-50.0	100.0	-100.0	2830	14720	5.404108568378117e-05	0.050224627085285044	638106	6344	-176.2958526611328
50.0	-50.0	91.0	-90.6	2834	14740	5.907132473535421e-05	0.05022213640463267	638978	6344	-180.01817321777344
50.0	-50.0	100.0	-100.0	2839	14760	5.500660679204677e-05	0.05021976397476463	639817	6344	-179.56637573242188
15.0	-0.87	100.0	-100.0	2844	14780	1.8504540233070055e-05	0.05021738698982095	640667	6344	-178.99855041503906
50.0	-50.0	64.0	-63.4	2851	14800	5.711067367244411e-05	0.050215207811940284	641453	6344	-179.349609375
50.0	-50.0	87.0	-86.6	2854	14820	5.495731647198017e-05	0.050212781672537864	642340	6344	-178.6121063232422
50.0	-50.0	45.0	-43.0	2859	14840	5.8553739378073144e-05	0.05021039603349305	643222	6344	-178.80621337890625
1.0	1.0	100.0	-100.0	2863	14860	1.5158512069270877e-06	0.050208195830271626	644043	6344	-178.6060333251953
1.0	1.0	74.0	-73.4	2867	14880	1.3494203167576944e-06	0.05020586675280625	644923	6344	-178.13621520996094
50.0	-50.0	100.0	-100.0	2868	14900	5.642868528430094e-05	0.05020342382865858	645858	6345	-180.59727478027344
50.0	-50.0	81.0	-80.4	2874	14920	5.9843223152467455e-05	0.050201334283467805	646664	6345	-180.5515899658203
50.0	-50.0	100.0	-100.0	2878	14940	5.6965587289138654e-05	0.05019906952358638	647549	6345	-180.25868225097656
50.0	-50.0	63.0	-61.8	2882	14960	5.411996560938218e-05	0.050196761360902994	648462	6345	-180.50047302246094
50.0	-50.0	51.0	-49.4	2886	14980	5.384150429943375e-05	0.05019465507155699	649303	6345	-174.99871826171875
47.0	-0.96	83.0	-82.2	2892	15000	5.462155342102051e-05	0.050192667639339515	650104	6345	-176.23019409179688
